128,0,25,110,45.07,99,16.78,91,11.01,3,2.7,1,0
107,0,26,123,27.47,103,16.62,103,11.45,3,3.7,1,0
137,0,0,114,41.38,110,10.3,104,7.32,5,3.29,0,0
84,1,0,71,50.9,88,5.26,89,8.86,7,1.78,2,0
75,1,0,113,28.34,122,12.61,121,8.41,3,2.73,3,0
118,1,0,98,37.98,101,18.75,118,9.18,6,1.7,0,0
121,0,24,88,37.09,108,29.62,118,9.57,7,2.03,3,0
147,1,0,79,26.69,94,8.76,96,9.53,6,1.92,0,0
117,0,0,97,31.37,80,29.89,90,9.71,4,2.35,1,0
141,1,37,84,43.96,111,18.87,97,14.69,5,3.02,0,0
65,0,0,137,21.95,83,19.42,111,9.4,6,3.43,4,1
74,0,0,127,31.91,148,13.89,94,8.82,5,2.46,0,0
168,0,0,96,21.9,71,8.92,128,6.35,2,3.02,1,0
95,0,0,88,26.62,75,21.05,115,8.65,5,3.32,3,0
62,0,0,70,20.52,76,26.11,99,9.14,6,3.54,4,0
161,0,0,67,56.59,97,27.01,128,7.23,9,1.46,4,1
85,0,27,139,33.39,90,23.88,75,4.02,4,3.73,1,0
93,0,0,114,32.42,111,18.55,121,5.83,3,2.19,3,0
76,0,33,66,32.25,65,18.09,108,7.46,5,2.7,1,0
73,0,0,90,38.15,88,13.56,74,8.68,2,3.51,1,0
147,0,0,117,26.37,93,20.37,133,9.4,4,2.86,0,0
77,0,0,89,10.61,121,14.44,64,9.43,6,1.54,5,1
130,0,0,112,31.11,99,6.2,78,8.18,19,2.57,0,0
111,0,0,103,18.77,102,11.67,105,8.53,6,2.08,2,0
132,0,0,86,13.79,72,20.84,115,10.67,2,2.78,0,0
174,0,0,76,21.13,112,23.55,115,11.28,5,4.19,3,0
57,0,39,115,36.21,112,16.24,115,8.22,3,2.57,0,0
54,0,0,73,22.83,100,13.22,68,4.59,4,3.97,3,0
20,0,0,109,32.3,84,21.95,102,8.17,6,1.7,0,0
49,0,0,117,20.28,109,18.28,90,8.04,1,3.0,1,0
142,0,0,95,14.42,63,11.62,148,11.27,6,3.83,2,0
75,0,0,105,38.44,107,17.13,98,11.08,5,2.78,1,0
172,0,0,121,36.04,115,2.65,78,13.2,10,3.4,3,0
12,0,0,118,42.43,119,21.45,90,12.61,3,3.19,1,1
57,0,25,94,30.06,75,16.58,116,9.61,4,2.24,0,0
72,0,37,80,37.4,102,18.47,71,6.88,6,3.97,3,0
36,0,30,128,24.87,80,13.81,109,5.82,6,3.92,0,0
78,0,0,64,22.24,116,19.01,108,10.25,5,2.7,1,0
136,1,33,106,34.66,99,15.95,107,4.58,6,2.84,3,0
149,0,0,94,23.87,92,23.1,108,8.47,9,3.0,1,0
98,0,0,102,21.47,85,14.18,135,8.45,2,2.54,3,0
135,1,41,85,29.43,107,17.33,78,5.5,15,3.94,0,1
34,0,0,82,21.22,98,23.99,78,14.02,4,2.7,2,0
160,0,0,77,14.59,110,14.05,92,8.03,4,2.48,3,0
64,0,0,67,26.18,118,19.19,86,11.94,3,0.95,1,0
59,0,28,97,20.55,92,18.11,116,7.34,5,2.3,2,0
65,0,0,120,35.92,122,13.82,118,6.06,5,3.56,3,0
142,0,0,133,31.79,74,11.44,127,10.9,5,2.0,2,0
119,0,0,114,27.05,117,19.66,91,6.44,3,2.38,5,1
97,0,24,135,22.64,58,18.46,79,3.18,3,2.97,1,0
52,0,0,108,32.62,96,22.93,87,10.66,5,2.11,3,0
60,0,0,57,37.5,115,17.94,129,11.21,3,1.84,1,0
10,0,0,112,31.64,66,16.17,57,12.73,6,3.08,2,0
96,0,0,117,27.23,67,22.74,68,10.28,5,2.51,2,0
87,0,0,83,25.67,116,18.67,127,9.18,3,2.62,5,1
81,0,0,67,29.84,85,21.19,98,12.16,3,2.75,1,0
141,0,0,98,21.57,62,15.3,128,6.34,2,2.16,1,0
121,0,30,129,33.73,77,6.4,77,8.15,3,1.57,3,1
68,0,0,70,25.3,164,20.95,103,5.84,3,3.27,3,0
125,0,0,103,38.98,126,15.08,95,8.52,8,3.24,1,0
174,0,0,97,32.66,94,14.44,54,7.5,4,3.08,1,0
116,0,34,83,45.66,142,15.15,106,7.48,3,3.13,2,0
74,0,33,91,32.93,96,20.92,92,6.21,3,3.94,2,0
149,0,28,92,30.72,64,15.96,53,11.95,3,3.4,3,0
38,0,0,98,22.3,97,13.85,106,7.15,6,2.21,2,0
40,0,41,74,25.18,88,14.41,102,9.63,5,1.67,2,0
43,1,0,105,42.76,104,18.09,67,7.1,4,2.51,0,0
113,1,0,93,21.28,119,17.54,139,5.82,8,2.24,0,0
126,0,0,70,35.97,80,18.44,60,6.91,1,2.11,1,0
150,0,0,101,30.41,110,14.37,100,6.69,3,3.73,4,1
138,0,0,93,41.11,83,14.49,104,13.29,7,3.19,3,0
162,0,46,97,38.23,84,16.0,61,11.46,2,3.27,0,0
147,0,0,83,42.26,85,12.66,109,7.76,4,2.16,3,0
90,0,0,146,34.58,117,19.27,105,6.86,4,1.97,1,0
85,0,0,109,40.09,94,13.36,99,8.47,3,3.24,0,0
50,0,0,90,26.71,72,18.98,111,8.16,2,1.65,1,0
82,0,0,109,51.05,100,15.39,73,12.15,4,3.16,0,1
144,0,0,117,10.47,85,6.55,99,7.79,7,2.21,4,1
46,0,0,72,36.4,104,13.97,113,7.99,3,2.21,2,0
70,0,0,98,28.93,102,13.19,76,10.29,2,4.05,1,0
144,0,0,99,34.19,74,25.8,119,10.08,2,3.56,1,0
116,1,0,104,36.62,79,17.41,109,12.53,5,3.4,3,0
55,0,25,123,28.15,95,11.57,90,7.91,2,2.97,3,0
70,0,24,101,42.42,98,22.07,68,10.02,4,2.65,1,0
106,0,0,96,35.8,85,21.18,88,8.61,1,3.35,2,1
128,0,29,104,30.48,86,19.2,78,14.54,7,2.32,0,0
94,0,0,105,26.84,101,13.18,84,8.53,5,2.16,4,1
111,0,0,118,36.43,76,17.72,98,8.21,2,3.24,1,0
74,0,35,104,26.2,84,10.49,57,9.09,9,2.94,2,0
